"site","location","plot","time","year","Acer campestre","Achillea millefolium","Achillea pannonica","Achillea setacea","Aegopodium podagraria","Agrimonia eupatoria","Agrostis capillaris","Apera spica-venti","Arabidopsis thaliana","Arrhenatherum elatius","Bromus sterilis","Calamagrostis epigejos","Carduus acanthoides","Carlina vulgaris","Cirsium arvense","Convolvulus arvensis","Dactylis glomerata","Daucus carota","Dianthus carthusianorum","Echium vulgare","Elytrigia arenosa","Epilobium ciliatum","Epilobium tetragonum","Erigeron acris","Eryngium campestre","Erysimum crepidifolium","Falcaria vulgaris","Festuca laevigata","Festuca ovina","Festuca pratensis","Festuca rubra","Festuca rupicola","Galium aparine","Galium mollugo","Galium ochroleucum","Galium x pomeranicum","Helictotrichon pratense","Hieracium pilosella","Hieracium sabaudum","Hieracium umbellatum","Hypericum perforatum","Inula conyza","Koeleria macrantha","Lamium purpureum","Lathyrus tuberosus","Myosotis arvensis","Myosotis ramosissima","Myosotis stricta","Picris hieracioides","Poa angustifolia","Poa pratensis","Polygonum aviculare","Prunus mahaleb","Rosa canina","Rosa rubiginosa","Rumex thyrsiflorus","Securigera varia","Senecio jacobaea","Senecio vernalis","Sisymbrium loeselii","Tanacetum vulgare","Torilis japonica","Tragopogon pratensis","Trifolium arvense","Trifolium campestre","Tripleurospermum perforatum","Trisetum flavescens","Urtica urens","Veronica arvensis","Vicia angustifolia","Vicia hirsuta","Vicia sativa","Vicia tetrasperma","Viola arvensis","Vulpia myuros"
"GR","10x10",159,2,1999,0,0,0.001,0,0,0,0.588,0,0.001,0.024,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.024,0,0.001,0,0,0,0,0.146,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.146
"GR","10x10",160,2,1999,0,0,0,0,0,0,0.455,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0.018,0.001,0.018,0,0,0,0,0.113,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,0,0,0,0.001,0,0.018,0.001,0.018
"GR","10x10",161,2,1999,0,0,0,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0.019,0,0.001,0,0,0,0,0.117,0,0,0,0,0,0.117,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0.019,0,0.117
"GR","10x10",162,2,1999,0,0,0,0,0,0,0.129,0.001,0,0.021,0,0,0,0,0,0,0.311,0,0,0,0,0,0.001,0,0.129,0,0.001,0,0,0,0,0.021,0,0,0,0,0,0.001,0,0,0.129,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0.001,0,0,0,0.129
"GR","10x10",163,2,1999,0,0,0,0,0,0,0.218,0.015,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0.363,0,0,0,0.001,0,0.001,0,0,0,0,0.09,0,0,0,0,0,0.015,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.09,0,0,0,0,0.09,0,0,0,0.015
"GR","10x10",164,2,1999,0,0,0.001,0,0,0,0.504,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.125
"GR","10x10",165,2,1999,0,0,0.018,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0.018,0.018,0,0,0,0,0,0,0.111,0.018,0,0,0,0,0,0.111,0,0,0,0,0,0.111,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0.018,0,0,0,0,0,0,0,0.111
"GR","10x10",166,2,1999,0,0,0,0,0,0,0.462,0.013,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0.013,0.013,0,0,0,0,0,0.082,0,0,0,0,0,0.198,0,0,0.013,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0.013,0,0,0,0,0,0.013,0,0.013
"GR","10x10",167,2,1999,0,0,0,0,0,0.001,0.523,0,0,0.093,0,0,0,0,0,0,0.015,0,0,0,0.015,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0.015,0,0.093,0,0,0.093,0,0,0,0,0,0,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.015,0,0,0,0,0,0.001,0,0.015
"GR","10x10",168,2,1999,0,0,0,0,0,0,0.248,0,0,0.248,0,0,0,0,0,0,0,0,0,0,0.248,0,0.001,0,0,0,0,0,0,0,0,0.017,0,0,0,0.017,0,0.017,0,0,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.103
"GR","10x10",169,2,1999,0,0,0,0,0,0,0.706,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0.125,0,0.001,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.125
"GR","10x10",170,2,1999,0,0,0.018,0,0,0,0.618,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.109,0,0,0,0,0,0,0.018,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.018
"GR","10x10",171,2,1999,0,0,0,0,0,0,0.395,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.016,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0.237,0,0,0.098,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.016
"GR","10x10",172,2,1999,0,0,0,0,0,0,0.596,0,0,0.017,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0.017,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0.106,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0.106
"GR","10x10",173,2,1999,0,0,0,0,0,0,0.323,0.001,0,0.022,0,0,0,0,0,0,0,0.001,0,0,0.323,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0.133,0,0,0,0,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0.022
"GR","10x10",174,2,1999,0,0,0.001,0,0,0.001,0.322,0,0,0.133,0,0,0,0,0.001,0,0,0,0,0,0.322,0,0,0,0.021,0,0,0,0.001,0,0,0,0,0,0,0.021,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.021,0,0.133
"GR","10x10",175,2,1999,0,0,0,0,0,0,0.739,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.001,0.021,0,0.001,0,0,0.021,0,0,0,0,0,0.021,0,0,0.001,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.131
"GR","10x10",176,2,1999,0,0,0,0,0,0,0.513,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.127,0.021,0.021,0,0,0,0.001,0.127,0,0,0,0,0,0.021,0,0,0.127,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.021,0
"GR","10x10",177,2,1999,0,0,0,0,0,0,0.627,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0.111,0,0,0,0,0,0,0.111,0,0,0,0,0,0.018,0,0,0.018,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0.111
"GR","10x10",178,2,1999,0,0,0,0,0,0,0.488,0,0,0.02,0,0,0,0,0,0,0,0.001,0,0,0.293,0,0,0,0.02,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02
"GR","10x10",179,2,1999,0,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0.001,0,0,0,0,0.357,0,0.001,0,0.024,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.148
"GR","10x10",155,3,2000,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0.025,0.001,0.025,0,0,0,0.001,0.616,0,0,0,0,0,0.025,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",156,3,2000,0.001,0,0,0,0,0,0.168,0,0.001,0.001,0,0,0.001,0,0,0,0.168,0,0,0,0,0,0,0,0.027,0.027,0.027,0,0,0,0,0.408,0,0,0,0.001,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",157,3,2000,0,0,0,0,0,0,0.367,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0.024,0,0,0,0.152,0,0.001,0,0,0,0,0.152,0,0,0,0,0,0,0,0,0.152,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",158,3,2000,0,0,0,0,0,0.025,0.381,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0.025,0,0.001,0,0,0,0,0.381,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",159,3,2000,0.001,0,0,0,0,0,0.151,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0.024,0,0.001,0,0.151,0,0.001,0,0,0,0,0.366,0,0,0,0.151,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",160,3,2000,0,0,0,0,0,0,0.547,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0.022,0.001,0.022,0,0,0,0,0.136,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"GR","10x10",161,3,2000,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.025,0.001,0.025,0,0,0,0,0.618,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",162,3,2000,0,0,0,0,0,0,0.134,0,0,0.134,0,0,0,0.022,0,0,0.134,0,0,0,0.134,0,0,0,0.134,0,0.022,0,0,0,0,0.134,0,0,0,0,0,0.022,0,0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
"GR","10x10",163,3,2000,0,0,0,0,0,0,0,0,0,0.419,0,0,0,0,0,0,0.028,0,0,0,0.173,0,0.001,0,0.173,0,0,0,0,0,0,0.028,0,0,0,0.001,0,0.001,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",164,3,2000,0.025,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.154,0,0.001,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
"GR","10x10",165,3,2000,0,0,0,0,0,0,0.535,0,0,0,0,0,0,0,0,0,0.021,0.001,0,0,0,0,0,0,0.133,0.021,0.021,0,0,0,0,0.133,0,0,0,0,0.001,0.133,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",166,3,2000,0,0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0.001,0,0,0,0,0.023,0,0,0,0,0,0.34,0,0,0.001,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GR","10x10",167,3,2000,0,0,0,0,0,0,0.547,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0.022,0,0,0,0,0.001,0,0,0,0,0,0.136,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
